Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,63.06%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,59.56%
MiniMax-M2,MiniMax,MiniMax training dataset,59.16%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,57.30%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,56.27%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,55.80%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,55.52%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,55.43%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,54.78%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,54.61%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,53.94%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,53.40%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,53.13%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,53.08%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,53.05%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,52.97%
Qwen3 Max,Alibaba,Alibaba training dataset,52.73%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,52.65%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,52.44%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,51.03%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,50.77%
Magistral Medium 1.2,Mistral,Mistral training dataset,50.64%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,50.18%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,50.10%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,50.05%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,49.79%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,49.72%
Kimi K2,Moonshot AI,Moonshot AI training dataset,49.65%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,49.40%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,49.09%
MiniMax M1 80k,MiniMax,MiniMax training dataset,48.79%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,48.76%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,48.54%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,48.44%
GLM-4.5-Air,Z AI,Z AI training dataset,48.32%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,48.21%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,48.20%
Ring-1T,InclusionAI,InclusionAI training dataset,47.87%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,47.85%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,47.78%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,47.52%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,47.50%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,47.47%
Ling-1T,InclusionAI,InclusionAI training dataset,47.33%
MiniMax M1 40k,MiniMax,MiniMax training dataset,47.17%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,47.13%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,46.90%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,46.81%
Magistral Small 1.2,Mistral,Mistral training dataset,46.52%
Llama 4 Maverick,Meta,Meta training dataset,46.15%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,46.00%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,45.84%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,45.76%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,45.43%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,45.37%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,45.18%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,45.02%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,44.92%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,44.55%
