Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,60.19%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,58.91%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,56.86%
MiniMax-M2,MiniMax,MiniMax training dataset,55.80%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,55.50%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,54.94%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,54.81%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,54.44%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,53.20%
Qwen3 Max,Alibaba,Alibaba training dataset,53.02%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,52.34%
Magistral Medium 1.2,Mistral,Mistral training dataset,51.50%
QwQ 32B,Alibaba,Alibaba training dataset,51.40%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,50.75%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,50.53%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,50.42%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,50.15%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,49.74%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,48.39%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,48.05%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,47.98%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,47.43%
MiniMax M1 80k,MiniMax,MiniMax training dataset,47.36%
Magistral Small 1.2,Mistral,Mistral training dataset,47.35%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,47.02%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,46.55%
GLM-4.5-Air,Z AI,Z AI training dataset,46.33%
Ling-1T,InclusionAI,InclusionAI training dataset,46.15%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,46.06%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,46.03%
MiniMax M1 40k,MiniMax,MiniMax training dataset,44.87%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,44.60%
Ring-1T,InclusionAI,InclusionAI training dataset,44.53%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,44.39%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,44.36%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,44.16%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,43.92%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,43.70%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,43.61%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,43.50%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,43.49%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,43.42%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,43.02%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,43.00%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,42.84%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,42.81%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,42.08%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,41.95%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,41.88%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,41.43%
Kimi K2,Moonshot AI,Moonshot AI training dataset,41.08%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,40.28%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,40.02%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,39.74%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,39.70%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,39.54%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,38.92%
Gemma 3 1B Instruct,Google,Google training dataset,37.68%
Gemma 2 9B,Google,Google training dataset,37.20%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,37.13%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,36.65%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,36.57%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,36.33%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,36.13%
Qwen2.5 Max,Alibaba,Alibaba training dataset,34.96%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,34.45%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,34.42%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,34.40%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,34.28%
Mistral Medium 3.1,Mistral,Mistral training dataset,32.99%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,32.50%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,32.01%
Llama 4 Maverick,Meta,Meta training dataset,31.73%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,31.73%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,31.66%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,31.54%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,31.50%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,31.36%
