Model Name,Provider,Dataset,LiveCodeBench,IFBench,Terminal-Bench Hard,Coding Index
gpt-oss-20B (low),OpenAI,OpenAI training dataset,65.20%,57.80%,4.30%,34.50%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,87.80%,69.00%,22.00%,49.60%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,77.70%,65.10%,9.90%,40.70%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,70.70%,58.30%,5.00%,37.20%
GPT-5.1 (Non-reasoning),OpenAI,OpenAI training dataset,49.40%,43.20%,21.30%,35.70%
GPT-5 (low),OpenAI,OpenAI training dataset,76.30%,66.60%,24.80%,46.80%
GPT-5 mini (high),OpenAI,OpenAI training dataset,83.80%,75.40%,31.20%,51.40%
GPT-5 mini (minimal),OpenAI,OpenAI training dataset,54.50%,45.60%,13.50%,35.00%
GPT-5 (high),OpenAI,OpenAI training dataset,84.60%,73.10%,30.50%,52.70%
GPT-5 (minimal),OpenAI,OpenAI training dataset,55.80%,45.60%,17.70%,37.40%
GPT-5 (medium),OpenAI,OpenAI training dataset,70.30%,70.60%,36.20%,49.20%
o3,OpenAI,OpenAI training dataset,80.80%,71.40%,34.80%,52.20%
GPT-5 nano (high),OpenAI,OpenAI training dataset,78.90%,67.60%,11.30%,42.30%
GPT-5 (ChatGPT),OpenAI,OpenAI training dataset,54.30%,45.00%,12.10%,34.70%
GPT-5 Codex (high),OpenAI,OpenAI training dataset,84.00%,74.10%,35.50%,53.50%
GPT-5 nano (minimal),OpenAI,OpenAI training dataset,47.00%,32.50%,6.40%,27.50%
GPT-5 nano (medium),OpenAI,OpenAI training dataset,76.30%,65.90%,16.30%,42.10%
GPT-5 mini (medium),OpenAI,OpenAI training dataset,69.20%,71.20%,27.00%,45.70%
GPT-5.1 (high),OpenAI,OpenAI training dataset,86.80%,72.90%,42.60%,57.50%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,28.80%,47.10%,2.80%,19.20%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,30.50%,39.00%,6.40%,22.20%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,21.40%,N/A,N/A,N/A
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,11.00%,30.40%,0.70%,7.70%
Llama 4 Scout,Meta,Meta training dataset,29.90%,39.50%,1.40%,16.10%
Llama 4 Maverick,Meta,Meta training dataset,39.70%,43.00%,6.40%,26.40%
Gemini 3 Pro Preview,Google,Google training dataset,91.70%,70.40%,39.00%,62.30%
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),Google,Google training dataset,64.10%,41.80%,7.10%,33.20%
Gemma 3 1B Instruct,Google,Google training dataset,1.70%,19.90%,0.00%,80.00%
Gemma 3n E4B Instruct,Google,Google training dataset,14.60%,27.90%,2.10%,8.30%
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),Google,Google training dataset,71.30%,52.30%,15.60%,42.50%
Gemma 3 27B Instruct,Google,Google training dataset,13.70%,31.80%,3.50%,12.80%
Gemma 3 270M,Google,Google training dataset,0.30%,12.10%,0.00%,10.00%
Gemini 2.5 Pro,Google,Google training dataset,80.10%,48.70%,24.80%,49.30%
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),Google,Google training dataset,68.80%,52.60%,12.10%,36.50%
Gemma 3n E2B Instruct,Google,Google training dataset,9.50%,22.00%,0.70%,5.20%
Gemma 3 12B Instruct,Google,Google training dataset,13.70%,36.70%,0.70%,10.60%
Gemma 3 4B Instruct,Google,Google training dataset,11.20%,28.30%,0.70%,6.40%
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),Google,Google training dataset,62.50%,43.50%,13.50%,37.80%
Ministral 8B,Mistral,Mistral training dataset,11.20%,19.30%,0.00%,7.60%
Ministral 3B,Mistral,Mistral training dataset,6.90%,20.50%,0.00%,5.40%
Mistral Medium 3.1,Mistral,Mistral training dataset,40.60%,39.80%,9.90%,28.10%
Devstral Small (Jul '25),Mistral,Mistral training dataset,25.40%,34.60%,5.70%,18.50%
Codestral (Jan '25),Mistral,Mistral training dataset,24.30%,24.80%,0.00%,16.30%
Magistral Medium 1.2,Mistral,Mistral training dataset,75.00%,43.00%,12.80%,42.30%
Magistral Small 1.2,Mistral,Mistral training dataset,72.30%,44.40%,4.30%,37.20%
Devstral Medium,Mistral,Mistral training dataset,33.70%,29.90%,8.50%,23.90%
Mistral Small 3.2,Mistral,Mistral training dataset,27.50%,33.50%,6.40%,20.10%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,26.60%,27.60%,1.40%,19.70%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,78.90%,54.10%,29.10%,48.60%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,51.30%,19.90%,1.40%,24.40%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,55.40%,43.10%,23.40%,39.60%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,77.00%,39.60%,14.90%,44.10%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,52.90%,41.20%,29.80%,38.30%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,79.80%,57.00%,28.40%,49.60%
Grok 4 Fast (Non-reasoning),xAI,xAI training dataset,40.10%,37.70%,11.30%,28.10%
Grok Code Fast 1,xAI,xAI training dataset,65.70%,41.40%,16.30%,39.40%
Grok 4.1 Fast (Reasoning),xAI,xAI training dataset,82.20%,52.70%,22.70%,49.70%
Grok 4 Fast (Reasoning),xAI,xAI training dataset,83.20%,50.50%,17.70%,48.40%
Grok 4,xAI,xAI training dataset,81.90%,53.70%,37.60%,55.10%
Grok 3 mini Reasoning (high),xAI,xAI training dataset,69.60%,45.90%,16.30%,42.20%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,23.10%,23.50%,3.50%,17.60%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,12.60%,21.10%,0.00%,7.80%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,13.10%,N/A,N/A,N/A
LFM2 1.2B,Liquid AI,Liquid AI training dataset,2.00%,22.00%,0.00%,1.50%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,8.10%,19.50%,0.70%,3.80%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,15.10%,26.30%,0.00%,7.30%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,61.60%,37.10%,2.80%,31.50%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,42.40%,33.70%,4.30%,23.80%
MiniMax-Text-01,MiniMax,MiniMax training dataset,24.70%,32.70%,2.10%,17.30%
MiniMax-M2,MiniMax,MiniMax training dataset,82.60%,72.30%,24.10%,47.60%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,16.90%,30.70%,4.30%,14.80%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,29.00%,32.90%,3.50%,18.80%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,27.70%,38.10%,0.00%,18.70%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,28.00%,39.50%,0.00%,17.00%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,64.10%,38.20%,2.10%,33.70%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,72.40%,27.60%,1.40%,31.90%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,70.10%,27.10%,0.70%,30.60%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,49.30%,25.50%,N/A,N/A
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,73.70%,37.00%,5.00%,37.80%
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,85.30%,68.10%,29.10%,52.20%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,61.00%,41.70%,22.70%,38.10%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,37.80%,28.10%,10.60%,22.80%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,6.80%,38.10%,0.00%,4.90%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,4.10%,24.40%,0.00%,2.60%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,3.90%,19.70%,0.00%,2.50%
Granite 4.0 H 350M,IBM,IBM training dataset,1.90%,17.60%,0.00%,1.20%
Granite 4.0 350M,IBM,IBM training dataset,2.40%,15.90%,0.00%,1.10%
Granite 4.0 H 1B,IBM,IBM training dataset,11.50%,26.20%,0.00%,6.60%
Granite 4.0 1B,IBM,IBM training dataset,4.70%,20.50%,0.00%,4.50%
Granite 4.0 H Small,IBM,IBM training dataset,25.10%,31.50%,2.10%,16.10%
Granite 4.0 Micro,IBM,IBM training dataset,18.00%,24.80%,1.40%,10.40%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,19.50%,N/A,N/A,N/A
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,65.30%,31.30%,4.30%,34.60%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,8.50%,N/A,N/A,N/A
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,54.60%,34.80%,9.20%,32.80%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,26.90%,29.00%,0.00%,18.20%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,68.60%,32.70%,10.60%,34.80%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,47.20%,33.50%,1.40%,24.60%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,29.30%,25.30%,0.00%,12.20%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,74.70%,36.30%,3.50%,37.50%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,51.60%,23.00%,0.00%,20.30%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,46.70%,39.10%,5.70%,27.90%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,68.80%,46.30%,15.60%,41.80%
GLM-4.5-Air,Z AI,Z AI training dataset,68.40%,37.60%,19.10%,39.40%
