Model Name,Provider,Dataset,MMLU-Pro,Intelligence Index
gpt-oss-20B (low),OpenAI,OpenAI training dataset,71.80%,44.30%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,80.80%,60.50%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,74.80%,52.40%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,77.50%,47.50%
GPT-5.1 (Non-reasoning),OpenAI,OpenAI training dataset,80.10%,42.90%
GPT-5 (low),OpenAI,OpenAI training dataset,86.00%,61.80%
GPT-5 mini (high),OpenAI,OpenAI training dataset,83.70%,64.30%
GPT-5 mini (minimal),OpenAI,OpenAI training dataset,77.50%,41.60%
GPT-5 (high),OpenAI,OpenAI training dataset,87.10%,68.50%
Grok-1,xAI,xAI training dataset,N/A,18.20%
GPT-5 (minimal),OpenAI,OpenAI training dataset,80.60%,43.50%
GPT-5 (medium),OpenAI,OpenAI training dataset,86.70%,66.40%
o3,OpenAI,OpenAI training dataset,85.30%,65.50%
GPT-5 nano (high),OpenAI,OpenAI training dataset,78.00%,51.00%
GPT-5 (ChatGPT),OpenAI,OpenAI training dataset,82.00%,41.80%
GPT-5 Codex (high),OpenAI,OpenAI training dataset,86.50%,68.50%
GPT-5 nano (minimal),OpenAI,OpenAI training dataset,55.60%,29.10%
GPT-5 nano (medium),OpenAI,OpenAI training dataset,77.20%,49.30%
GPT-5 mini (medium),OpenAI,OpenAI training dataset,82.80%,60.80%
GPT-5.1 (high),OpenAI,OpenAI training dataset,87.00%,69.70%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,71.30%,27.90%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,73.20%,28.10%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,67.10%,18.90%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,46.40%,15.50%
Llama 4 Scout,Meta,Meta training dataset,75.20%,28.10%
Llama 4 Maverick,Meta,Meta training dataset,80.90%,35.80%
Gemini 3 Pro Preview,Google,Google training dataset,89.80%,72.80%
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),Google,Google training dataset,79.60%,41.60%
Gemma 3 1B Instruct,Google,Google training dataset,13.50%,6.80%
Gemma 3n E4B Instruct,Google,Google training dataset,48.80%,15.50%
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),Google,Google training dataset,84.20%,54.40%
Gemma 3 27B Instruct,Google,Google training dataset,66.90%,22.10%
Gemma 3 270M,Google,Google training dataset,5.50%,5.60%
Gemini 2.5 Pro,Google,Google training dataset,86.20%,59.60%
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),Google,Google training dataset,80.80%,47.90%
Gemma 3n E2B Instruct,Google,Google training dataset,37.80%,11.30%
Gemma 3 12B Instruct,Google,Google training dataset,59.50%,20.40%
Gemma 3 4B Instruct,Google,Google training dataset,41.70%,14.70%
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),Google,Google training dataset,83.60%,46.70%
Ministral 8B,Mistral,Mistral training dataset,38.90%,12.40%
Ministral 3B,Mistral,Mistral training dataset,33.90%,10.90%
Mistral Medium 3.1,Mistral,Mistral training dataset,68.30%,35.40%
Devstral Small (Jul '25),Mistral,Mistral training dataset,62.20%,27.20%
Codestral (Jan '25),Mistral,Mistral training dataset,44.60%,20.10%
Magistral Medium 1.2,Mistral,Mistral training dataset,81.50%,52.00%
Magistral Small 1.2,Mistral,Mistral training dataset,76.80%,43.00%
Devstral Medium,Mistral,Mistral training dataset,70.80%,27.90%
Mistral Small 3.2,Mistral,Mistral training dataset,68.10%,29.10%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,79.50%,29.90%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,85.00%,56.90%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,73.90%,31.00%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,83.60%,46.30%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,84.90%,52.00%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,83.60%,45.70%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,85.10%,57.70%
R1 1776,Perplexity,Perplexity training dataset,N/A,19.10%
Grok 4 Fast (Non-reasoning),xAI,xAI training dataset,73.00%,38.60%
Grok Code Fast 1,xAI,xAI training dataset,79.30%,48.60%
Grok 4.1 Fast (Reasoning),xAI,xAI training dataset,85.40%,64.10%
Grok 4 Fast (Reasoning),xAI,xAI training dataset,85.00%,60.30%
Grok 4,xAI,xAI training dataset,86.60%,65.30%
Grok 3 mini Reasoning (high),xAI,xAI training dataset,82.80%,57.10%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,71.40%,22.70%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,46.50%,15.70%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,48.50%,12.40%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,25.70%,9.70%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,29.80%,11.80%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,50.50%,17.40%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,80.50%,37.70%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,75.00%,30.20%
MiniMax-Text-01,MiniMax,MiniMax training dataset,75.90%,28.30%
MiniMax-M2,MiniMax,MiniMax training dataset,82.00%,61.40%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,69.00%,23.60%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,69.20%,26.60%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,78.50%,35.50%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,69.80%,25.90%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,82.50%,38.50%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,74.20%,37.20%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,73.90%,36.10%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,55.60%,26.10%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,81.40%,45.20%
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,84.80%,67.00%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,81.90%,50.40%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,58.50%,N/A
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,51.10%,14.40%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,28.20%,9.50%
