Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,61.19%
MiniMax-M2,MiniMax,MiniMax training dataset,56.91%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,56.65%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,56.55%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,55.87%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,55.43%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,55.40%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,54.24%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,53.26%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,52.91%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,52.10%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,51.28%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,51.17%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,51.06%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,50.65%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,49.71%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,49.51%
Qwen3 Max,Alibaba,Alibaba training dataset,49.47%
Magistral Medium 1.2,Mistral,Mistral training dataset,48.76%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,48.34%
MiniMax M1 80k,MiniMax,MiniMax training dataset,48.28%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,47.90%
Kimi K2,Moonshot AI,Moonshot AI training dataset,47.70%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,47.09%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,46.92%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,46.78%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,46.76%
MiniMax M1 40k,MiniMax,MiniMax training dataset,46.64%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,46.59%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,45.82%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,45.72%
GLM-4.5-Air,Z AI,Z AI training dataset,45.41%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,45.17%
Llama 4 Maverick,Meta,Meta training dataset,44.70%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,44.61%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,44.35%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,43.89%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,43.50%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,43.42%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,43.11%
Ling-1T,InclusionAI,InclusionAI training dataset,43.10%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,42.99%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,42.12%
Qwen2.5 Max,Alibaba,Alibaba training dataset,41.62%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,41.54%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,40.66%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,40.65%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,40.05%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,39.67%
QwQ 32B,Alibaba,Alibaba training dataset,39.58%
Magistral Small 1.2,Mistral,Mistral training dataset,38.78%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,38.69%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,38.30%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,38.21%
MiniMax-Text-01,MiniMax,MiniMax training dataset,38.16%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,38.07%
Grok 2 (Dec '24),xAI,xAI training dataset,37.98%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,37.84%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,37.81%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,37.74%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,37.73%
Ring-1T,InclusionAI,InclusionAI training dataset,37.60%
Llama 4 Scout,Meta,Meta training dataset,37.53%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,37.15%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,36.88%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,36.53%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,36.26%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,36.22%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,36.09%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,35.76%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,35.47%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,35.40%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,35.39%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,35.33%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,35.24%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,35.23%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,35.15%
Mistral Medium 3.1,Mistral,Mistral training dataset,35.04%
