Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,62.46%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,58.51%
MiniMax-M2,MiniMax,MiniMax training dataset,58.28%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,58.14%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,57.60%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,57.02%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,55.56%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,55.51%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,54.45%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,53.96%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,53.06%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,52.03%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,51.79%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,51.76%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,51.49%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,50.95%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,49.55%
Qwen3 Max,Alibaba,Alibaba training dataset,49.38%
Magistral Medium 1.2,Mistral,Mistral training dataset,49.34%
MiniMax M1 80k,MiniMax,MiniMax training dataset,49.22%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,48.88%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,48.72%
Kimi K2,Moonshot AI,Moonshot AI training dataset,48.33%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,47.76%
MiniMax M1 40k,MiniMax,MiniMax training dataset,47.39%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,47.02%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,46.61%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,46.32%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,45.95%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,45.73%
