Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,65.39%
MiniMax-M2,MiniMax,MiniMax training dataset,60.64%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,59.86%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,59.79%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,59.29%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,59.29%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,57.63%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,57.12%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,56.77%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,56.60%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,55.34%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,54.53%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,54.51%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,53.68%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,53.43%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,53.33%
Qwen3 Max,Alibaba,Alibaba training dataset,53.02%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,52.94%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,52.18%
Kimi K2,Moonshot AI,Moonshot AI training dataset,52.16%
Magistral Medium 1.2,Mistral,Mistral training dataset,51.98%
MiniMax M1 80k,MiniMax,MiniMax training dataset,51.19%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,50.20%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,49.76%
MiniMax M1 40k,MiniMax,MiniMax training dataset,49.73%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,49.05%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,48.91%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,48.46%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,48.33%
GLM-4.5-Air,Z AI,Z AI training dataset,48.26%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,47.35%
Qwen2.5 Max,Alibaba,Alibaba training dataset,46.95%
Llama 4 Maverick,Meta,Meta training dataset,46.89%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,46.83%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,46.82%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,45.99%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,45.68%
Ling-1T,InclusionAI,InclusionAI training dataset,44.71%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,44.50%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,44.49%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,44.47%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,44.45%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,43.98%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,43.20%
Grok 2 (Dec '24),xAI,xAI training dataset,42.88%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,42.67%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,42.52%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,42.37%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,41.54%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,40.65%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,40.14%
QwQ 32B,Alibaba,Alibaba training dataset,40.05%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,39.59%
MiniMax-Text-01,MiniMax,MiniMax training dataset,39.54%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,39.48%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,38.70%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,38.64%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,38.41%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,38.17%
Devstral Small (May '25),Mistral,Mistral training dataset,38.07%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,38.01%
Llama 4 Scout,Meta,Meta training dataset,37.99%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,37.83%
Magistral Small 1.2,Mistral,Mistral training dataset,37.77%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,37.75%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,37.30%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,36.43%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,36.23%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,36.10%
Mistral Medium 3.1,Mistral,Mistral training dataset,35.75%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,35.54%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,35.33%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,35.25%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,35.23%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,35.22%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,35.11%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,35.11%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,34.74%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,34.73%
Llama 3 Instruct 70B,Meta,Meta training dataset,34.58%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,34.17%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,34.15%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,34.15%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,34.12%
Gemma 2 27B,Google,Google training dataset,33.97%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,33.92%
Ring-1T,InclusionAI,InclusionAI training dataset,33.91%
Command A,Cohere,Cohere training dataset,33.80%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,33.51%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,33.41%
Mistral Small 3.2,Mistral,Mistral training dataset,32.95%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,32.81%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,32.55%
Mistral Small (Sep '24),Mistral,Mistral training dataset,32.54%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,32.42%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,32.36%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,32.27%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,32.27%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,32.27%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,32.03%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,31.94%
Pixtral Large,Mistral,Mistral training dataset,31.66%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,31.61%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,31.37%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,31.28%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,31.14%
Mistral Small 3.1,Mistral,Mistral training dataset,30.61%
Devstral Small (Jul '25),Mistral,Mistral training dataset,30.41%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,30.09%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,30.04%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,30.03%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,29.78%
Pixtral 12B (2409),Mistral,Mistral training dataset,29.66%
Gemma 2 9B,Google,Google training dataset,29.57%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,29.41%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,29.37%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,29.33%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,29.29%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,29.14%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,29.06%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,28.98%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,28.55%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,28.47%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,28.43%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,28.43%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,28.00%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,27.84%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,27.76%
Gemma 3 27B Instruct,Google,Google training dataset,27.36%
