Model Name,Provider,Dataset,SciCode,GPQA Diamond,Humanity's Last Exam
gpt-oss-20B (low),OpenAI,OpenAI training dataset,34.00%,61.10%,5.10%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,38.90%,78.20%,18.50%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,34.40%,68.80%,9.80%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,36.00%,67.20%,5.20%
GPT-5.1 (Non-reasoning),OpenAI,OpenAI training dataset,36.50%,64.30%,5.20%
GPT-5 (low),OpenAI,OpenAI training dataset,39.10%,80.80%,18.40%
GPT-5 mini (high),OpenAI,OpenAI training dataset,39.20%,82.80%,19.70%
GPT-5 mini (minimal),OpenAI,OpenAI training dataset,36.90%,68.70%,5.00%
GPT-5 (high),OpenAI,OpenAI training dataset,42.90%,85.40%,26.50%
GPT-5 (minimal),OpenAI,OpenAI training dataset,38.80%,67.30%,5.40%
GPT-5 (medium),OpenAI,OpenAI training dataset,41.10%,84.20%,23.50%
o3,OpenAI,OpenAI training dataset,41.00%,82.70%,20.00%
GPT-5 nano (high),OpenAI,OpenAI training dataset,36.60%,67.60%,8.20%
GPT-5 (ChatGPT),OpenAI,OpenAI training dataset,37.80%,68.60%,5.80%
GPT-5 Codex (high),OpenAI,OpenAI training dataset,40.90%,83.70%,25.60%
GPT-5 nano (minimal),OpenAI,OpenAI training dataset,29.10%,42.80%,4.10%
GPT-5 nano (medium),OpenAI,OpenAI training dataset,33.80%,67.00%,7.60%
GPT-5 mini (medium),OpenAI,OpenAI training dataset,41.00%,80.30%,14.60%
GPT-5.1 (high),OpenAI,OpenAI training dataset,43.30%,87.30%,26.50%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,26.00%,49.80%,4.00%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,29.90%,51.50%,4.20%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,24.00%,43.20%,4.90%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,11.20%,22.10%,5.20%
Llama 4 Scout,Meta,Meta training dataset,17.00%,58.70%,4.30%
Llama 4 Maverick,Meta,Meta training dataset,33.10%,67.10%,4.80%
Gemini 3 Pro Preview,Google,Google training dataset,56.10%,90.80%,37.20%
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),Google,Google training dataset,28.50%,65.10%,4.60%
Gemma 3 1B Instruct,Google,Google training dataset,0.70%,23.70%,5.20%
Gemma 3n E4B Instruct,Google,Google training dataset,8.10%,29.60%,4.40%
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),Google,Google training dataset,40.50%,79.30%,12.70%
Gemma 3 27B Instruct,Google,Google training dataset,21.20%,42.80%,4.70%
Gemma 3 270M,Google,Google training dataset,0.00%,22.40%,4.20%
Gemini 2.5 Pro,Google,Google training dataset,42.80%,84.40%,21.10%
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),Google,Google training dataset,28.70%,70.90%,6.60%
Gemma 3n E2B Instruct,Google,Google training dataset,5.20%,22.90%,4.00%
Gemma 3 12B Instruct,Google,Google training dataset,17.40%,34.90%,4.80%
Gemma 3 4B Instruct,Google,Google training dataset,7.30%,29.10%,5.20%
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),Google,Google training dataset,37.50%,76.60%,7.80%
Ministral 8B,Mistral,Mistral training dataset,11.50%,27.60%,4.90%
Ministral 3B,Mistral,Mistral training dataset,9.40%,26.00%,5.50%
Mistral Medium 3.1,Mistral,Mistral training dataset,33.80%,58.80%,4.40%
Devstral Small (Jul '25),Mistral,Mistral training dataset,24.30%,41.40%,3.70%
Codestral (Jan '25),Mistral,Mistral training dataset,24.70%,31.20%,4.50%
Magistral Medium 1.2,Mistral,Mistral training dataset,39.20%,73.90%,9.60%
Magistral Small 1.2,Mistral,Mistral training dataset,35.20%,66.30%,6.10%
Devstral Medium,Mistral,Mistral training dataset,29.40%,49.20%,3.80%
Mistral Small 3.2,Mistral,Mistral training dataset,26.40%,50.50%,4.30%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,31.20%,40.20%,6.10%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,37.70%,79.70%,13.80%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,20.40%,61.20%,5.60%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,39.90%,73.80%,8.60%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,40.30%,81.30%,14.90%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,32.10%,75.10%,8.40%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,40.60%,79.20%,15.20%
Grok 4 Fast (Non-reasoning),xAI,xAI training dataset,32.90%,60.60%,5.00%
Grok Code Fast 1,xAI,xAI training dataset,36.20%,72.70%,7.50%
Grok 4.1 Fast (Reasoning),xAI,xAI training dataset,44.20%,85.30%,17.60%
Grok 4 Fast (Reasoning),xAI,xAI training dataset,44.20%,84.70%,17.00%
Grok 4,xAI,xAI training dataset,45.70%,87.70%,23.90%
Grok 3 mini Reasoning (high),xAI,xAI training dataset,40.60%,79.10%,11.10%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,26.00%,57.50%,4.10%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,10.80%,33.10%,4.20%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,11.00%,31.50%,4.40%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,2.50%,22.80%,5.70%
